Lista de Tokens
35 int Palavra Reservada;
35 idTopic Identificador;
35 , ,;
35 String Identificador;
35 topicName Identificador;
35 ) );
35 { {;
36 //public ArrayList<ArrayList<DigitalObject>> run(String dataset, IFeatureManager fm, ArrayList<DigitalObject> inputList, int idTopic, String topicName) { Delimitador de Comentário;
37 this Identificador;
37 . .;
37 fm Identificador;
37 = Operador Relacional de Atribuição;
37 FeatureManager Identificador;
37 . .;
37 getInstance Identificador;
37 ( (;
37 idTopic Identificador;
37 ) );
37 ; ;;
38 System Identificador;
38 . .;
38 out Identificador;
38 . .;
38 println Identificador;
38 ( (;
38 pico Identificador;
40 configFile Identificador;
40 = Operador Relacional de Atribuição;
40 new Identificador;
40 Properties Identificador;
40 ( (;
40 ) );
40 ; ;;
42 try Identificador;
42 { {;
43 configFile Identificador;
43 . .;
43 load Identificador;
43 ( (;
43 new Identificador;
43 FileInputStream Identificador;
43 ( (;
43 "resources/kmeans.properties" Cadeia de Caracteres;
43 ) );
43 ) );
43 ; ;;
45 catch Identificador;
45 ( (;
45 FileNotFoundException Identificador;
45 e Identificador;
45 ) );
45 { {;
46 e Identificador;
46 . .;
46 printStackTrace Identificador;
46 ( (;
46 ) );
46 ; ;;
48 catch Identificador;
48 ( (;
48 IOException Identificador;
48 e Identificador;
48 ) );
48 { {;
49 e Identificador;
49 . .;
49 printStackTrace Identificador;
49 ( (;
49 ) );
49 ; ;;
52 //this.NUM_CLUSTERS = Integer.parseInt(configFile.getProperty("NUM_CLUSTERS")); Delimitador de Comentário;
53 this Identificador;
53 . .;
53 CENTROIDS_INITIALIZER Identificador;
53 = Operador Relacional de Atribuição;
53 Integer Identificador;
53 . .;
53 parseInt Identificador;
53 ( (;
53 configFile Identificador;
53 . .;
53 getProperty Identificador;
53 ( (;
53 "CENTROIDS_INITIALIZER" Cadeia de Caracteres;
53 ) );
53 ) );
53 ; ;;
54 this Identificador;
54 . .;
54 CENTROIDS_UPDATE_METHOD Identificador;
54 = Operador Relacional de Atribuição;
54 Integer Identificador;
54 . .;
54 parseInt Identificador;
54 ( (;
54 configFile Identificador;
54 . .;
54 getProperty Identificador;
54 ( (;
54 "CENTROIDS_UPDATE_METHOD" Cadeia de Caracteres;
54 ) );
54 ) );
54 ; ;;
55 this Identificador;
55 . .;
55 MAX_ITERATIONS Identificador;
55 = Operador Relacional de Atribuição;
55 Integer Identificador;
55 . .;
55 parseInt Identificador;
55 ( (;
55 configFile Identificador;
55 . .;
55 getProperty Identificador;
55 ( (;
55 "MAX_ITERATIONS" Cadeia de Caracteres;
55 ) );
55 ) );
55 ; ;;
56 this Identificador;
56 . .;
56 inputList Identificador;
56 = Operador Relacional de Atribuição;
56 new Identificador;
56 ArrayList Identificador;
56 < Operador Relacional;
56 DigitalObject Identificador;
56 > Operador Relacional;
56 ( (;
56 inputList Identificador;
56 ) );
56 ; ;;
57 this Identificador;
57 . .;
57 originalList Identificador;
57 = Operador Relacional de Atribuição;
57 new Identificador;
57 ArrayList Identificador;
57 < Operador Relacional;
57 DigitalObject Identificador;
57 > Operador Relacional;
57 ( (;
57 inputList Identificador;
57 ) );
57 ; ;;
58 this Identificador;
58 . .;
58 totNumIterations Identificador;
58 = Operador Relacional de Atribuição;
58 0 Número Inteiro;
58 ; ;;
60 ArrayList Identificador;
60 < Operador Relacional;
60 ArrayList Identificador;
60 < Operador Relacional;
60 DigitalObject Identificador;
60 > Operador Relacional;
60 > Operador Relacional;
60 clusters Identificador;
60 = Operador Relacional de Atribuição;
60 selectInitialMedoids Identificador;
60 ( (;
60 ) );
60 ; ;;
61 clusters Identificador;
61 = Operador Relacional de Atribuição;
61 runClustering Identificador;
61 ( (;
61 clusters Identificador;
61 ) );
61 ; ;;
63 //ClusteringFileWriter.writeClusters(clusters, this.getClass().getSimpleName().toLowerCase(), topicName); Delimitador de Comentário;
65 System Identificador;
65 . .;
65 out Identificador;
65 . .;
65 println Identificador;
65 ( (;
65 "# clusters: " Cadeia de Caracteres;
65 + Operador Aritmético de incremento/decremento;
65 clusters Identificador;
65 . .;
65 size Identificador;
65 ( (;
65 ) );
65 ) );
65 ; ;;
67 //Select representative images Delimitador de Comentário;
68 RepresentativeSelector Identificador;
68 selector Identificador;
68 = Operador Relacional de Atribuição;
68 new Identificador;
68 RepresentativeSelector Identificador;
68 ( (;
68 this Identificador;
68 . .;
68 fm Identificador;
68 , ,;
68 this Identificador;
68 . .;
68 originalList Identificador;
68 , ,;
68 idTopic Identificador;
68 , ,;
68 topicName Identificador;
68 ) );
68 ; ;;
69 ArrayList Identificador;
69 < Operador Relacional;
69 DigitalObject Identificador;
69 > Operador Relacional;
69 outputList Identificador;
69 = Operador Relacional de Atribuição;
69 selector Identificador;
69 . .;
69 run Identificador;
69 ( (;
69 clusters Identificador;
69 ) );
69 ; ;;
71 return Palavra Reservada;
71 outputList Identificador;
71 ; ;;
78 public Identificador;
78 ArrayList Identificador;
78 < Operador Relacional;
78 ArrayList Identificador;
78 < Operador Relacional;
78 DigitalObject Identificador;
78 > Operador Relacional;
78 > Operador Relacional;
78 run2 Identificador;
78 ( (;
78 String Identificador;
78 dataset Identificador;
78 , ,;
78 IFeatureManager Identificador;
78 fm Identificador;
78 , ,;
78 ArrayList Identificador;
78 < Operador Relacional;
78 DigitalObject Identificador;
78 > Operador Relacional;
78 inputList Identificador;
78 , ,;
78 int Palavra Reservada;
78 idTopic Identificador;
78 , ,;
78 String Identificador;
78 topicName Identificador;
78 ) );
78 { {;
79 this Identificador;
79 . .;
79 fm Identificador;
79 = Operador Relacional de Atribuição;
79 FeatureManager Identificador;
79 . .;
79 getInstance Identificador;
79 ( (;
79 idTopic Identificador;
79 ) );
79 ; ;;
80 System Identificador;
80 . .;
80 out Identificador;
80 . .;
80 println Identificador;
80 ( (;
80 pico Identificador;
82 configFile Identificador;
82 = Operador Relacional de Atribuição;
82 new Identificador;
82 Properties Identificador;
82 ( (;
82 ) );
82 ; ;;
84 try Identificador;
84 { {;
85 configFile Identificador;
85 . .;
85 load Identificador;
85 ( (;
85 new Identificador;
85 FileInputStream Identificador;
85 ( (;
85 "resources/kmeans.properties" Cadeia de Caracteres;
85 ) );
85 ) );
85 ; ;;
87 catch Identificador;
87 ( (;
87 FileNotFoundException Identificador;
87 e Identificador;
87 ) );
87 { {;
88 e Identificador;
88 . .;
88 printStackTrace Identificador;
88 ( (;
88 ) );
88 ; ;;
90 catch Identificador;
90 ( (;
90 IOException Identificador;
90 e Identificador;
90 ) );
90 { {;
91 e Identificador;
91 . .;
91 printStackTrace Identificador;
91 ( (;
91 ) );
91 ; ;;
94 //this.NUM_CLUSTERS = Integer.parseInt(configFile.getProperty("NUM_CLUSTERS")); Delimitador de Comentário;
95 this Identificador;
95 . .;
95 CENTROIDS_INITIALIZER Identificador;
95 = Operador Relacional de Atribuição;
95 Integer Identificador;
95 . .;
95 parseInt Identificador;
95 ( (;
95 configFile Identificador;
95 . .;
95 getProperty Identificador;
95 ( (;
95 "CENTROIDS_INITIALIZER" Cadeia de Caracteres;
95 ) );
95 ) );
95 ; ;;
96 this Identificador;
96 . .;
96 CENTROIDS_UPDATE_METHOD Identificador;
96 = Operador Relacional de Atribuição;
96 Integer Identificador;
96 . .;
96 parseInt Identificador;
96 ( (;
96 configFile Identificador;
96 . .;
96 getProperty Identificador;
96 ( (;
96 "CENTROIDS_UPDATE_METHOD" Cadeia de Caracteres;
96 ) );
96 ) );
96 ; ;;
97 this Identificador;
97 . .;
97 MAX_ITERATIONS Identificador;
97 = Operador Relacional de Atribuição;
97 Integer Identificador;
97 . .;
97 parseInt Identificador;
97 ( (;
97 configFile Identificador;
97 . .;
97 getProperty Identificador;
97 ( (;
97 "MAX_ITERATIONS" Cadeia de Caracteres;
97 ) );
97 ) );
97 ; ;;
98 this Identificador;
98 . .;
98 inputList Identificador;
98 = Operador Relacional de Atribuição;
98 new Identificador;
98 ArrayList Identificador;
98 < Operador Relacional;
98 DigitalObject Identificador;
98 > Operador Relacional;
98 ( (;
98 inputList Identificador;
98 ) );
98 ; ;;
99 this Identificador;
99 . .;
99 originalList Identificador;
99 = Operador Relacional de Atribuição;
99 new Identificador;
99 ArrayList Identificador;
99 < Operador Relacional;
99 DigitalObject Identificador;
99 > Operador Relacional;
99 ( (;
99 inputList Identificador;
99 ) );
99 ; ;;
100 this Identificador;
100 . .;
100 totNumIterations Identificador;
100 = Operador Relacional de Atribuição;
100 0 Número Inteiro;
100 ; ;;
102 ArrayList Identificador;
102 < Operador Relacional;
102 ArrayList Identificador;
102 < Operador Relacional;
102 DigitalObject Identificador;
102 > Operador Relacional;
102 > Operador Relacional;
102 clusters Identificador;
102 = Operador Relacional de Atribuição;
102 selectInitialMedoids Identificador;
102 ( (;
102 ) );
102 ; ;;
103 clusters Identificador;
103 = Operador Relacional de Atribuição;
103 runClustering Identificador;
103 ( (;
103 clusters Identificador;
103 ) );
103 ; ;;
105 //ClusteringFileWriter.writeClusters(clusters, this.getClass().getSimpleName().toLowerCase(), topicName); Delimitador de Comentário;
107 System Identificador;
107 . .;
107 out Identificador;
107 . .;
107 println Identificador;
107 ( (;
107 "# clusters: " Cadeia de Caracteres;
107 + Operador Aritmético de incremento/decremento;
107 clusters Identificador;
107 . .;
107 size Identificador;
107 ( (;
107 ) );
107 ) );
107 ; ;;
109 //Select representative images Delimitador de Comentário;
112 return Palavra Reservada;
112 clusters Identificador;
112 ; ;;
117 public Identificador;
117 void Identificador;
117 setNUM_CLUSTERS Identificador;
117 ( (;
117 int Palavra Reservada;
117 k Identificador;
117 ) );
117 { {;
118 this Identificador;
118 . .;
118 NUM_CLUSTERS Identificador;
118 = Operador Relacional de Atribuição;
118 k Identificador;
118 ; ;;
121 public Identificador;
121 ArrayList Identificador;
121 < Operador Relacional;
121 ArrayList Identificador;
121 < Operador Relacional;
121 DigitalObject Identificador;
121 > Operador Relacional;
121 > Operador Relacional;
121 runForEnsemble Identificador;
121 ( (;
121 ) );
121 { {;
122 ArrayList Identificador;
122 < Operador Relacional;
122 ArrayList Identificador;
122 < Operador Relacional;
122 DigitalObject Identificador;
122 > Operador Relacional;
122 > Operador Relacional;
122 clusters Identificador;
122 = Operador Relacional de Atribuição;
122 selectInitialMedoids Identificador;
122 ( (;
122 ) );
122 ; ;;
123 clusters Identificador;
123 = Operador Relacional de Atribuição;
123 runClustering Identificador;
123 ( (;
123 clusters Identificador;
123 ) );
123 ; ;;
124 return Palavra Reservada;
124 clusters Identificador;
124 ; ;;
127 private Identificador;
127 ArrayList Identificador;
127 < Operador Relacional;
127 ArrayList Identificador;
127 < Operador Relacional;
127 DigitalObject Identificador;
127 > Operador Relacional;
127 > Operador Relacional;
127 selectInitialMedoids Identificador;
127 ( (;
127 ) );
127 { {;
129 ArrayList Identificador;
129 < Operador Relacional;
129 ArrayList Identificador;
129 < Operador Relacional;
129 DigitalObject Identificador;
129 > Operador Relacional;
129 > Operador Relacional;
129 clusters Identificador;
129 = Operador Relacional de Atribuição;
129 null Identificador;
129 ; ;;
131 switch Identificador;
131 ( (;
131 this Identificador;
131 . .;
131 CENTROIDS_INITIALIZER Identificador;
131 ) );
131 { {;
132 case Identificador;
132 1 Número Inteiro;
133 ISelectInitialCentroids Identificador;
133 offsetSelection Identificador;
133 = Operador Relacional de Atribuição;
133 new Identificador;
133 OffsetSelection Identificador;
133 ( (;
133 ) );
133 ; ;;
134 clusters Identificador;
134 = Operador Relacional de Atribuição;
134 offsetSelection Identificador;
134 . .;
134 inicialCentroids Identificador;
134 ( (;
134 inputList Identificador;
134 , ,;
134 NUM_CLUSTERS Identificador;
134 ) );
134 ; ;;
135 break Identificador;
135 ; ;;
136 case Identificador;
136 2 Número Inteiro;
137 RandomSelection Identificador;
137 randomSelection Identificador;
137 = Operador Relacional de Atribuição;
137 new Identificador;
137 RandomSelection Identificador;
137 ( (;
137 ) );
137 ; ;;
138 randomSelection Identificador;
138 . .;
138 setRandomSeed Identificador;
138 ( (;
138 fm Identificador;
138 . .;
138 getRandomSeed Identificador;
138 ( (;
138 ) );
138 ) );
138 ; ;;
139 clusters Identificador;
139 = Operador Relacional de Atribuição;
139 randomSelection Identificador;
139 . .;
139 inicialCentroids Identificador;
139 ( (;
139 inputList Identificador;
139 , ,;
139 NUM_CLUSTERS Identificador;
139 ) );
139 ; ;;
140 break Identificador;
140 ; ;;
143 try Identificador;
143 { {;
144 throw Identificador;
144 new Identificador;
144 Exception Identificador;
144 ( (;
144 "Arquivo mal configurado!" Cadeia de Caracteres;
144 ) );
144 ; ;;
145 catch Identificador;
145 ( (;
145 Exception Identificador;
145 e Identificador;
145 ) );
145 { {;
146 e Identificador;
146 . .;
146 printStackTrace Identificador;
146 ( (;
146 ) );
146 ; ;;
150 return Palavra Reservada;
150 clusters Identificador;
150 ; ;;
153 private Identificador;
153 ArrayList Identificador;
153 < Operador Relacional;
153 ArrayList Identificador;
153 < Operador Relacional;
153 DigitalObject Identificador;
153 > Operador Relacional;
153 > Operador Relacional;
153 runClustering Identificador;
153 ( (;
153 ArrayList Identificador;
153 < Operador Relacional;
153 ArrayList Identificador;
153 < Operador Relacional;
153 DigitalObject Identificador;
153 > Operador Relacional;
153 > Operador Relacional;
153 clusters Identificador;
153 ) );
153 { {;
155 totNumIterations Identificador;
155 ++ Operador Aritmético de incremento/decremento;
155 ; ;;
156 //System.out.println("Running Kmeans iteration " + totNumIterations); Delimitador de Comentário;
157 //System.out.println("Selecting objects' centroids."); Delimitador de Comentário;
159 ArrayList Identificador;
159 < Operador Relacional;
159 DigitalObject Identificador;
159 > Operador Relacional;
159 centroidsList Identificador;
159 = Operador Relacional de Atribuição;
159 new Identificador;
159 ArrayList Identificador;
159 < Operador Relacional;
159 DigitalObject Identificador;
159 > Operador Relacional;
159 ( (;
159 ) );
159 ; ;;
161 //Clean-up clusters before updating objects' clusters Delimitador de Comentário;
162 for Identificador;
162 ( (;
162 int Palavra Reservada;
162 clusterIndex Identificador;
162 = Operador Relacional de Atribuição;
162 0 Número Inteiro;
162 ; ;;
162 clusterIndex Identificador;
162 < Operador Relacional;
162 clusters Identificador;
162 . .;
162 size Identificador;
162 ( (;
162 ) );
162 ; ;;
162 clusterIndex Identificador;
162 ++ Operador Aritmético de incremento/decremento;
162 ) );
162 { {;
164 //Saves the new centroid object and add to the new cluster Delimitador de Comentário;
165 DigitalObject Identificador;
165 newCentroid Identificador;
165 = Operador Relacional de Atribuição;
165 clusters Identificador;
165 . .;
165 get Identificador;
165 ( (;
165 clusterIndex Identificador;
165 ) );
165 . .;
165 remove Identificador;
165 ( (;
165 0 Número Inteiro;
165 ) );
165 ; ;;
167 //Creates an empty cluster Delimitador de Comentário;
168 ArrayList Identificador;
168 < Operador Relacional;
168 DigitalObject Identificador;
168 > Operador Relacional;
168 newCluster Identificador;
168 = Operador Relacional de Atribuição;
168 new Identificador;
168 ArrayList Identificador;
168 < Operador Relacional;
168 DigitalObject Identificador;
168 > Operador Relacional;
168 ( (;
168 ) );
168 ; ;;
170 //Adds the new centroid to the new cluster and to the centroids list Delimitador de Comentário;
171 newCluster Identificador;
171 . .;
171 add Identificador;
171 ( (;
171 newCentroid Identificador;
171 ) );
171 ; ;;
172 centroidsList Identificador;
172 . .;
172 add Identificador;
172 ( (;
172 newCentroid Identificador;
172 ) );
172 ; ;;
174 //Removes original cluster Delimitador de Comentário;
175 clusters Identificador;
175 . .;
175 remove Identificador;
175 ( (;
175 clusterIndex Identificador;
175 ) );
175 ; ;;
177 //Adds the new cluster Delimitador de Comentário;
178 clusters Identificador;
178 . .;
178 add Identificador;
178 ( (;
178 clusterIndex Identificador;
178 , ,;
178 newCluster Identificador;
178 ) );
178 ; ;;
181 inputList Identificador;
181 = Operador Relacional de Atribuição;
181 ( (;
181 ArrayList Identificador;
181 < Operador Relacional;
181 DigitalObject Identificador;
181 > Operador Relacional;
181 ) );
181 originalList Identificador;
181 . .;
181 clone Identificador;
181 ( (;
181 ) );
181 ; ;;
182 //For each image in the list, define its corresponding centroid Delimitador de Comentário;
183 while Palavra Reservada;
183 ( (;
183 ! Operador Lógico de Negação;
183 inputList Identificador;
183 . .;
183 isEmpty Identificador;
183 ( (;
183 ) );
183 ) );
183 { {;
185 //Gets the next element in the list Delimitador de Comentário;
186 DigitalObject Identificador;
186 image Identificador;
186 = Operador Relacional de Atribuição;
186 inputList Identificador;
186 . .;
186 remove Identificador;
186 ( (;
186 0 Número Inteiro;
186 ) );
186 ; ;;
188 //If it is not a centroid Delimitador de Comentário;
189 if Palavra Reservada;
189 ( (;
189 ! Operador Lógico de Negação;
189 centroidsList Identificador;
189 . .;
189 contains Identificador;
189 ( (;
189 image Identificador;
189 ) );
189 ) );
189 { {;
191 //Computes distance to the centroid of the first cluster Delimitador de Comentário;
192 double Identificador;
192 minDistToCentroid Identificador;
192 = Operador Relacional de Atribuição;
192 getDistance Identificador;
192 ( (;
192 image Identificador;
192 , ,;
192 clusters Identificador;
192 . .;
192 get Identificador;
192 ( (;
192 0 Número Inteiro;
192 ) );
192 . .;
192 get Identificador;
192 ( (;
192 0 Número Inteiro;
192 ) );
192 ) );
192 ; ;;
193 int Palavra Reservada;
193 imageClusterIndex Identificador;
193 = Operador Relacional de Atribuição;
193 0 Número Inteiro;
193 ; ;;
195 // For each cluster Delimitador de Comentário;
196 for Identificador;
196 ( (;
196 int Palavra Reservada;
196 clusterIndex Identificador;
196 = Operador Relacional de Atribuição;
196 1 Número Inteiro;
196 ; ;;
196 clusterIndex Identificador;
196 < Operador Relacional;
196 NUM_CLUSTERS Identificador;
196 ; ;;
196 clusterIndex Identificador;
196 ++ Operador Aritmético de incremento/decremento;
196 ) );
196 { {;
197 double Identificador;
197 distToCentroid Identificador;
197 = Operador Relacional de Atribuição;
197 getDistance Identificador;
197 ( (;
197 image Identificador;
197 , ,;
197 clusters Identificador;
197 . .;
197 get Identificador;
197 ( (;
197 clusterIndex Identificador;
197 ) );
197 . .;
197 get Identificador;
197 ( (;
197 0 Número Inteiro;
197 ) );
197 ) );
197 ; ;;
199 if Palavra Reservada;
199 ( (;
199 distToCentroid Identificador;
199 < Operador Relacional;
199 minDistToCentroid Identificador;
199 ) );
199 { {;
200 minDistToCentroid Identificador;
200 = Operador Relacional de Atribuição;
200 distToCentroid Identificador;
200 ; ;;
201 imageClusterIndex Identificador;
201 = Operador Relacional de Atribuição;
201 clusterIndex Identificador;
201 ; ;;
204 clusters Identificador;
204 . .;
204 get Identificador;
204 ( (;
204 imageClusterIndex Identificador;
204 ) );
204 . .;
204 add Identificador;
204 ( (;
204 image Identificador;
204 ) );
204 ; ;;
208 //Updating Centroids Delimitador de Comentário;
209 switch Identificador;
209 ( (;
209 this Identificador;
209 . .;
209 CENTROIDS_UPDATE_METHOD Identificador;
209 ) );
209 { {;
211 case Identificador;
211 1 Número Inteiro;
212 IAtualizeCentroids Identificador;
212 atualizeNN Identificador;
212 = Operador Relacional de Atribuição;
212 new Identificador;
212 AverageClusterConectivity Identificador;
212 ( (;
212 ) );
212 ; ;;
213 clusters Identificador;
213 = Operador Relacional de Atribuição;
213 atualizeNN Identificador;
213 . .;
213 updateCentroids Identificador;
213 ( (;
213 clusters Identificador;
213 , ,;
213 this Identificador;
213 . .;
213 fm Identificador;
213 ) );
213 ; ;;
214 if Palavra Reservada;
214 ( (;
214 AverageClusterConectivity Identificador;
214 . .;
214 centroidUpdated Identificador;
214 && Operador Lógico;
214 totNumIterations Identificador;
214 < Operador Relacional;
214 this Identificador;
214 . .;
214 MAX_ITERATIONS Identificador;
214 ) );
215 clusters Identificador;
215 = Operador Relacional de Atribuição;
215 runClustering Identificador;
215 ( (;
215 clusters Identificador;
215 ) );
215 ; ;;
216 break Identificador;
216 ; ;;
218 case Identificador;
218 2 Número Inteiro;
219 IAtualizeCentroids Identificador;
219 atualizeMinMaxPath Identificador;
219 = Operador Relacional de Atribuição;
219 new Identificador;
219 MinClusterRadius Identificador;
219 ( (;
219 ) );
219 ; ;;
220 clusters Identificador;
220 = Operador Relacional de Atribuição;
220 atualizeMinMaxPath Identificador;
220 . .;
220 updateCentroids Identificador;
220 ( (;
220 clusters Identificador;
220 , ,;
220 this Identificador;
220 . .;
220 fm Identificador;
220 ) );
220 ; ;;
221 if Palavra Reservada;
221 ( (;
221 MinClusterRadius Identificador;
221 . .;
221 centroidUpdated Identificador;
221 && Operador Lógico;
221 totNumIterations Identificador;
221 < Operador Relacional;
221 this Identificador;
221 . .;
221 MAX_ITERATIONS Identificador;
221 ) );
222 clusters Identificador;
222 = Operador Relacional de Atribuição;
222 runClustering Identificador;
222 ( (;
222 clusters Identificador;
222 ) );
222 ; ;;
223 break Identificador;
223 ; ;;
226 try Identificador;
226 { {;
227 throw Identificador;
227 new Identificador;
227 Exception Identificador;
227 ( (;
227 "Invalid centroid updating method!" Cadeia de Caracteres;
227 ) );
227 ; ;;
228 catch Identificador;
228 ( (;
228 Exception Identificador;
228 e Identificador;
228 ) );
228 { {;
229 e Identificador;
229 . .;
229 printStackTrace Identificador;
229 ( (;
229 ) );
229 ; ;;
231 System Identificador;
231 . .;
231 exit Identificador;
231 ( (;
231 1 Número Inteiro;
231 ) );
231 ; ;;
234 return Palavra Reservada;
234 clusters Identificador;
234 ; ;;
237 public Identificador;
237 double Identificador;
237 getDistance Identificador;
237 ( (;
237 DigitalObject Identificador;
237 obj1 Identificador;
237 , ,;
237 DigitalObject Identificador;
237 obj2 Identificador;
237 ) );
237 { {;
238 return Palavra Reservada;
238 this Identificador;
238 . .;
238 fm Identificador;
238 . .;
238 getAvgDistance Identificador;
238 ( (;
238 obj1 Identificador;
238 , ,;
238 obj2 Identificador;
238 ) );
238 ; ;;


Lista de Erros

38 "Executando o KMeans para o tó Mal formação de Cadeia de Caracteres;
38 " + idTopic); Mal formação de Cadeia de Caracteres;
80 "Executando o KMeans para o tó Mal formação de Cadeia de Caracteres;
80 " + idTopic); Mal formação de Cadeia de Caracteres;
142 default: Mal formação de Identificador;
225 default: Mal formação de Identificador;
